"Name","Location","GridReference","LocalAuthority","ManagedBy","Code","DfTCategory","PlatformCount","IsAccessible","FareZone"
"Moulsecoomb","Moulsecoomb","TQ325069","Brighton and Hove","Southern","MCB","E",2,false,0
"Newhaven Harbour","Newhaven","TQ449009","Lewes","Southern","NVH","F1",2,false,0
"Newhaven Town","Newhaven","TQ449014","Lewes (district)","Southern","NVN","E",2,false,0
"Norbury","","","London Borough of Croydon","Southern","NRB","C2",0,true,3
"Normans Bay","Normans Bay","TQ683056","Rother","Southern","NSB","F2",2,false,0
"North Dulwich","","","London Borough of Southwark","Southern","NDL","E",2,false,0
"Norwood Junction","","","London Borough of Croydon","London Overground","NWD","C2",5,true,4
"Nutbourne","Nutbourne","SU787057","Chichester","Southern","NUT","F2",2,false,0
"Nutfield","Nutfield","TQ304491","Tandridge","Southern","NUF","F2",2,false,0
"Ockley","Ockley","TQ164404","District of Mole Valley","Southern","OLY","F2",2,false,0
"Ore","Ore Valley, Hastings","TQ824106","Hastings, East Sussex","Southern","ORE","F2",2,false,0
"Oxted","Oxted","TQ393528","District of Tandridge","Southern","OXT","C2",3,false,0
"Penge West","","","London Borough of Bromley","London Overground","PNW","E",2,true,4
"Penshurst","Penshurst","TQ519464","Sevenoaks","Southern","PHR","F1",2,false,0
"Pevensey and Westham","Westham","TQ638043","Wealden","Southern","PEV","E",2,false,0
"Pevensey Bay","Pevensey","TQ651046","Wealden","Southern","PEB","F2",2,false,0
"Plumpton","Plumpton Green","TQ364161","Lewes (district)","Southern","PMP","E",2,false,0
"Polegate","Polegate","TQ582048","Wealden","Southern","PLG","D",2,false,0
"Portchester","Portchester","SU617058","Fareham","South West Trains","PTC","E",2,false,0
"Portslade","Portslade","TQ264055","Brighton & Hove","Southern","PLD","D",2,false,0
"Portsmouth & Southsea","Portsmouth","SU641002","Portsmouth","South West Trains","PMS","C1",4,false,0
"Portsmouth Harbour","Portsmouth","SU629000","Portsmouth","South West Trains","PMH","C1",0,false,0
"Preston Park","Preston Village","TQ299067","City of Brighton and Hove","Southern","PRP","D",3,false,0
"Pulborough","Pulborough","TQ042186","Horsham, West Sussex","Southern","PUL","D",2,false,0
"Purley Oaks","","","London Borough of Croydon","Southern","PUO","D",0,false,6
"Purley","","","London Borough of Croydon","GTR Southern","PUR","C2",6,true,6
"Queens Road Peckham","","","London Borough of Southwark","Southern","QRP","E",2,true,2
"Redhill","Redhill","TQ281506","Borough of Reigate and Banstead","Southern","RDH","C1",3,false,0
"Reedham (Surrey)","","TQ309606","London Borough of Croydon","Southern","RHM","E",2,false,6
"Reigate","Reigate","TQ254507","Reigate and Banstead","Southern","REI","D",2,false,0
"Riddlesdown","","","London Borough of Croydon","Southern","RDD","E",2,false,6
"Rye","Rye","TQ918205","Rother","Southern","RYE","E",2,false,0
"St Denys","St. Denys","SU431138","City of Southampton","South West Trains","SDN","E",4,false,0
"St Leonards Warrior Square","St Leonards on Sea","TQ803093","Hastings, East Sussex","Southeastern","SLQ","D",2,false,0
"Salfords","Salfords","TQ285462","Reigate and Banstead","Southern","SAF","E",2,false,0
"Sanderstead","","","London Borough of Croydon","Southern","SNR","D",2,false,6
"Seaford","Seaford","TV481991","Lewes (district)","Southern","SEF","D",1,false,0
"Selhurst","","","London Borough of Croydon","GTR Southern","SRS","D",4,false,4
"Shoreham-by-Sea","Shoreham-by-Sea","TQ218052","Adur, West Sussex","Southern","SSE","D",2,false,0
"South Bermondsey","","","Southwark","Southern","SBM","E",0,false,2
"South Croydon","","","London Borough of Croydon","Southern","SCY","D",0,false,5
